Technical,Architecture Framework,The Open Group TOGAF 9 ,https://www.opengroup.org/certifications/togaf-individual-certification,"Knowledge of the TOGAF terminology, structure,basic concepts, and core principles of Enterprise Architecture and the TOGAF standard.",No,
Technical,Architecture Framework,Enterprise Architecture Foundations,https://www.linkedin.com/learning/enterprise-architecture-foundations?u=58256457,"This course breaks down an enterprise architect’s role in an organization, what a career in EA looks like, and how to integrate EA in your organization",Yes,
Technical,Architecture Framework,Enterprise Architecture in Practice,https://www.linkedin.com/learning/enterprise-architecture-in-practice?u=58256457,This course focuses on the practical applications of EA and steps through the technological transformation of a fictional company.,Yes,
Technical,Architecture Framework,ITIL 4 Foundation,https://www.axelos.com/certifications/itil-certifications/itil-foundation,"The ITIL 4 Foundation certification is designed as an introduction to ITIL 4 and enables candidates to look at IT service management through an end-to-end operating model for the creation, delivery and continual improvement of tech-enabled products and services.",No,
Technical,Architecture Framework,ITIL 4 Managing Professional,https://www.axelos.com/certifications/itil-certifications/itil-managing-professional-itil-4,"ITIL 4 Managing Professional (ITIL MP) is a stream of four modules that are part of ITIL 4, the next evolution of ITIL.

The four modules are: ITIL 4 Specialist Create, Deliver and Support; ITIL 4 Specialist Drive Stakeholder Value; ITIL 4 Specialist High-velocity IT; ITIL 4 Strategist Direct, Plan and Improve.",No,Advanced
Technical,Architecture Framework,ITIL,https://www.linkedin.com/learning/paths/improve-your-itil-skills?u=58256457,"This learning path is designed to prepare you for the popular Foundations certification, as well as provide advice on how to implement it in the real world, and generally better align IT services with the needs of your business.",Yes,
Technical,Cloud,AWS Solutions Architect Associate ,https://aws.amazon.com/certification/certified-solutions-architect-associate/,"The AWS Certified Solutions Architect - Associate examination is intended for individuals who perform a solutions architect role and have one or more years of hands-on experience designing available, cost-efficient, fault-tolerant, and scalable distributed systems on AWS.",No,
Technical,Cloud,AWS and Azure training,https://gehosting.io/education ,"AWS and Azure training available through ACloud Guru, existing offering from CoreTech",Yes,
Technical,Cloud,Microsoft Certified: Azure Administrator Associate,https://docs.microsoft.com/en-us/learn/certifications/azure-administrator ,"This exam certifies that candidates are subject matter experts on implementing, managing, and monitoring an organization’s Microsoft Azure environment",No,
Technical,Cloud,Prepare for the AWS Certified Solutions Architect (Associate) Exam (SAA-C01),https://www.linkedin.com/learning/paths/prepare-for-the-aws-certified-solutions-architect-associate-exam-saa-c02?u=58256457,"This course intends to allow you explore design concepts for serverless AWS services, learn how to design encryption with AWS services and discover how to configure the right services for your organization.",Yes,
Technical,Cloud,Prepare for the AWS Certified Solutions Architect - Associate Exam (SAA-C02),https://www.linkedin.com/learning/paths/prepare-for-the-aws-certified-solutions-architect-associate-exam-saa-c02?u=58256457,This learning path provides IT pros with existing foundational knowledge of the AWS platform with the skills needed to prepare for the AWS Certified Solutions Architect - Associate (SAA-C02) exam.,Yes,
Technical,Cloud,Prepare for AWS Solutions Architect – Professional Certification,https://www.linkedin.com/learning/paths/prepare-for-aws-solutions-architect-professional-certification?u=58256457,This learning path provides IT professionals who have working proficiency with the AWS platform with the skills they need to prepare for the AWS Certified Solutions Architect – Professional exam.,Yes,Advanced
